Session Id,Participant Id,Full Name,UserAgent,UTC Event Timestamp,Action,Role
da9fd302-ef97-4306-b7fc-ae5bb0aea3d4,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36,03/02/2023 10:56:00 AM,Joined,Attendee
560a9900-0e50-4ff6-b4ae-15c0527203b1,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.6.00.1381 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 10:59:00 AM,Joined,Attendee
cb6af817-c453-4515-9787-f1ea49ba0943,, ,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML; like Gecko),03/02/2023 10:59:00 AM,Joined,Attendee
4ffaa140-84cb-489d-a00b-752a2239d3db,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57,03/02/2023 11:01:00 AM,Joined,Attendee
4909ae27-9355-462d-b7a1-c549b15bbc69,, ,SignalR (lang=Java; os=linux; version=2.0),03/02/2023 11:02:00 AM,Joined,Attendee
84fd2d84-cd12-4d82-9958-1e54e84f7391,, ,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_16_0) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.4.00.7175 Chrome/80.0.3987.163 Electron/8.5.5 Safari/537.36,03/02/2023 11:02:00 AM,Joined,Attendee
b749bedf-bf41-47a2-9b72-182df2322a09,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.41,03/02/2023 11:02:00 AM,Joined,Attendee
3d2867da-b306-42bc-82b5-536d2afbc599,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57,03/02/2023 11:03:00 AM,Joined,Attendee
8958b6a5-bb38-4e01-bd1d-ee6646cca328,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57,03/02/2023 11:09:00 AM,Joined,Attendee
76c843c0-071d-4a69-83a2-1fcd7bd0ab8b,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.6.00.1381 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 11:11:00 AM,Joined,Attendee
527d2974-8736-43c4-8329-550d3b01695e,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.6.00.1381 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 11:12:00 AM,Joined,Attendee
6de0a57a-2608-4031-9091-77c043600e26,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.6.00.1381 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 11:15:00 AM,Joined,Attendee
1908dcda-a50e-4898-8be0-d7e55ab5a825,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.5.00.31168 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 11:16:00 AM,Joined,Attendee
f4403aff-8e1f-47f2-af41-8fdae5703e00,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57,03/02/2023 11:18:00 AM,Joined,Attendee
6c0f5521-4e74-4803-9d69-c3a180be3456,, ,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML; like Gecko),03/02/2023 11:41:00 AM,Joined,Attendee
4ffaa140-84cb-489d-a00b-752a2239d3db,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57,03/02/2023 11:02:00 AM,Left,Attendee
cb6af817-c453-4515-9787-f1ea49ba0943,, ,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML; like Gecko),03/02/2023 11:03:00 AM,Left,Attendee
3d2867da-b306-42bc-82b5-536d2afbc599,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57,03/02/2023 11:07:00 AM,Left,Attendee
8958b6a5-bb38-4e01-bd1d-ee6646cca328,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36 Edg/110.0.1587.57,03/02/2023 11:17:00 AM,Left,Attendee
6de0a57a-2608-4031-9091-77c043600e26,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.6.00.1381 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 11:20:00 AM,Left,Attendee
da9fd302-ef97-4306-b7fc-ae5bb0aea3d4,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/110.0.0.0 Safari/537.36,03/02/2023 11:26:00 AM,Left,Attendee
1908dcda-a50e-4898-8be0-d7e55ab5a825,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.5.00.31168 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 11:29:00 AM,Left,Attendee
527d2974-8736-43c4-8329-550d3b01695e,, ,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Teams/1.6.00.1381 Chrome/96.0.4664.174 Electron/16.2.8 Safari/537.36,03/02/2023 11:36:00 AM,Left,Attendee
